age_label,date,experiment,gender,image_id,label,magnification,organism_label,platform,s3downloadkey,strain,experiment_id
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_10,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_11,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002a/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002a.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_12,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_13,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003a/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003a.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_14,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_15,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004_2X1_TileScan/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004_2X1_TileScan.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_16,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004a_2X2_TileScan/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004a_2X2_TileScan.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_2,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001_3x3_TileScan/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001_3x3_TileScan.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_3,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001_8X8_TileScan/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001_8X8_TileScan.tif,African_American,LMEX0000000244
