experiment,experiment_type,platform,release_date
LMEX0000000671,In situ hybridization,,8/13/2015
LMEX0000000672,In situ hybridization,,8/13/2015
LMEX0000000673,In situ hybridization,,8/13/2015
LMEX0000000674,In situ hybridization,,8/13/2015
LMEX0000000678,In situ hybridization,,8/13/2015
LMEX0000000679,In situ hybridization,,8/13/2015
LMEX0000000680,In situ hybridization,,8/13/2015
LMEX0000000681,In situ hybridization,,8/13/2015
LMEX0000000682,In situ hybridization,,8/13/2015
LMEX0000000696,In situ hybridization,,8/13/2015
LMEX0000000697,In situ hybridization,,8/13/2015
LMEX0000000698,In situ hybridization,,8/13/2015
LMEX0000000699,In situ hybridization,,8/13/2015
LMEX0000000700,In situ hybridization,,8/13/2015
LMEX0000000701,In situ hybridization,,8/13/2015
LMEX0000000702,In situ hybridization,,8/13/2015
LMEX0000000703,In situ hybridization,,8/13/2015
LMEX0000000704,In situ hybridization,,8/13/2015
LMEX0000000705,In situ hybridization,,8/13/2015
LMEX0000000706,In situ hybridization,,8/13/2015
LMEX0000000707,In situ hybridization,,8/13/2015
LMEX0000000708,In situ hybridization,,8/13/2015
LMEX0000000709,In situ hybridization,,8/13/2015
LMEX0000000710,In situ hybridization,,8/13/2015
LMEX0000000711,In situ hybridization,,8/13/2015
LMEX0000000712,In situ hybridization,,8/13/2015
LMEX0000000713,In situ hybridization,,8/13/2015
LMEX0000000714,In situ hybridization,,8/13/2015
LMEX0000000715,In situ hybridization,,8/13/2015
LMEX0000000716,In situ hybridization,,8/13/2015
LMEX0000000717,In situ hybridization,,8/13/2015
LMEX0000000718,In situ hybridization,,8/13/2015
LMEX0000000719,In situ hybridization,,8/13/2015
LMEX0000000720,In situ hybridization,,8/13/2015
LMEX0000000721,In situ hybridization,,8/13/2015
LMEX0000000722,In situ hybridization,,8/13/2015
LMEX0000000723,In situ hybridization,,8/13/2015
LMEX0000000724,In situ hybridization,,8/13/2015
LMEX0000000725,In situ hybridization,,8/13/2015
LMEX0000000726,In situ hybridization,,8/13/2015
LMEX0000000727,In situ hybridization,,8/13/2015
LMEX0000000728,In situ hybridization,,8/13/2015
LMEX0000000729,In situ hybridization,,8/13/2015
LMEX0000000730,In situ hybridization,,8/13/2015
LMEX0000000731,In situ hybridization,,8/13/2015
LMEX0000000732,In situ hybridization,,8/13/2015
LMEX0000000733,In situ hybridization,,8/13/2015
LMEX0000000734,In situ hybridization,,8/13/2015
LMEX0000000735,In situ hybridization,,8/13/2015
LMEX0000000736,In situ hybridization,,8/13/2015
LMEX0000000737,In situ hybridization,,8/13/2015
LMEX0000000738,In situ hybridization,,8/13/2015
LMEX0000000739,In situ hybridization,,8/13/2015
LMEX0000000740,In situ hybridization,,8/13/2015
LMEX0000000741,In situ hybridization,,8/13/2015
LMEX0000000742,In situ hybridization,,8/13/2015
LMEX0000000743,In situ hybridization,,8/13/2015
LMEX0000000744,In situ hybridization,,8/13/2015
LMEX0000000745,In situ hybridization,,8/13/2015
LMEX0000000746,In situ hybridization,,8/13/2015
LMEX0000000747,In situ hybridization,,8/13/2015
LMEX0000000748,In situ hybridization,,8/13/2015
LMEX0000000749,In situ hybridization,,8/13/2015
LMEX0000000750,In situ hybridization,,8/13/2015
LMEX0000000751,In situ hybridization,,8/13/2015
LMEX0000000752,In situ hybridization,,8/13/2015
LMEX0000000753,In situ hybridization,,8/13/2015
LMEX0000000754,In situ hybridization,,8/13/2015
LMEX0000000755,In situ hybridization,,8/13/2015
LMEX0000000756,In situ hybridization,,8/13/2015
LMEX0000000757,In situ hybridization,,8/13/2015
LMEX0000000758,In situ hybridization,,8/13/2015
LMEX0000000759,In situ hybridization,,8/13/2015
LMEX0000000760,In situ hybridization,,8/13/2015
LMEX0000000761,In situ hybridization,,8/13/2015
LMEX0000000762,In situ hybridization,,8/13/2015
LMEX0000000763,In situ hybridization,,8/13/2015
LMEX0000000764,In situ hybridization,,8/13/2015
LMEX0000000765,In situ hybridization,,8/13/2015
LMEX0000000766,In situ hybridization,,8/13/2015
LMEX0000000767,In situ hybridization,,8/13/2015
LMEX0000000768,In situ hybridization,,8/13/2015
LMEX0000000769,In situ hybridization,,8/13/2015
LMEX0000000770,In situ hybridization,,8/13/2015
LMEX0000000771,In situ hybridization,,8/13/2015
LMEX0000000772,In situ hybridization,,8/13/2015
LMEX0000000773,In situ hybridization,,8/13/2015
LMEX0000000774,In situ hybridization,,8/13/2015
LMEX0000000775,In situ hybridization,,8/13/2015
LMEX0000000776,In situ hybridization,,8/13/2015
LMEX0000000777,In situ hybridization,,8/13/2015
LMEX0000000778,In situ hybridization,,8/13/2015
LMEX0000000779,In situ hybridization,,8/13/2015
LMEX0000000780,In situ hybridization,,8/13/2015
LMEX0000000781,In situ hybridization,,8/13/2015
LMEX0000000782,In situ hybridization,,8/13/2015
LMEX0000000783,In situ hybridization,,8/13/2015
LMEX0000000784,In situ hybridization,,8/13/2015
LMEX0000000785,In situ hybridization,,8/13/2015
LMEX0000000786,In situ hybridization,,8/13/2015
LMEX0000000787,In situ hybridization,,8/13/2015
LMEX0000000788,In situ hybridization,,8/13/2015
LMEX0000000789,In situ hybridization,,8/13/2015
LMEX0000000790,In situ hybridization,,8/13/2015
LMEX0000000791,In situ hybridization,,8/13/2015
LMEX0000000792,In situ hybridization,,8/13/2015
LMEX0000000793,In situ hybridization,,8/13/2015
LMEX0000000794,In situ hybridization,,8/13/2015
LMEX0000000795,In situ hybridization,,8/13/2015
LMEX0000000796,In situ hybridization,,8/13/2015
LMEX0000000797,In situ hybridization,,8/13/2015
LMEX0000000798,In situ hybridization,,8/13/2015
LMEX0000000799,In situ hybridization,,8/13/2015
LMEX0000000800,In situ hybridization,,8/13/2015
LMEX0000000801,In situ hybridization,,8/13/2015
LMEX0000000802,In situ hybridization,,8/13/2015
LMEX0000000803,In situ hybridization,,8/13/2015
LMEX0000000804,In situ hybridization,,8/13/2015
LMEX0000000805,In situ hybridization,,8/13/2015
LMEX0000000806,In situ hybridization,,8/13/2015
LMEX0000000807,In situ hybridization,,8/13/2015
LMEX0000000808,In situ hybridization,,8/13/2015
LMEX0000000809,In situ hybridization,,8/13/2015
LMEX0000000810,In situ hybridization,,8/13/2015
LMEX0000000811,In situ hybridization,,8/13/2015
LMEX0000000812,In situ hybridization,,8/13/2015
LMEX0000000813,In situ hybridization,,8/13/2015
LMEX0000000814,In situ hybridization,,8/13/2015
LMEX0000000815,In situ hybridization,,8/13/2015
LMEX0000000816,In situ hybridization,,8/13/2015
LMEX0000000817,In situ hybridization,,8/13/2015
LMEX0000000818,In situ hybridization,,8/13/2015
LMEX0000000819,In situ hybridization,,8/13/2015
LMEX0000000820,In situ hybridization,,8/13/2015
LMEX0000000821,In situ hybridization,,8/13/2015
LMEX0000000822,In situ hybridization,,8/13/2015
LMEX0000000823,In situ hybridization,,8/13/2015
