color,experiment,probe_id,probe_label,target_conditions,target_molecules
purple,LMEX0000000552,LMPN0000000527,Pfkl,;,http://www.w3.org/2002/07/owl#Gene_ID_18641;Pfkl
Green,LMEX0000000052,LMPA0000000007,TTF-1,http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000052;acinar epithelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000142;ciliated cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000143;club cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000381;type II pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000382;immature type II pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000574;alveolar epithelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000576;terminal saccule epithelial cell,http://www.w3.org/2002/07/owl#Gene_ID_21869;Nkx2-1
purple,LMEX0000000411,LMPN0000000052,Plb1,;,http://www.w3.org/2002/07/owl#Gene_ID_665270;Plb1
purple,LMEX0000000413,LMPN0000000052,Plb1,;,http://www.w3.org/2002/07/owl#Gene_ID_665270;Plb1
Green,LMEX0000000004,LMPA0000000027,Hopx,http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000573;proximal acinar tubule epithelial cell,http://www.w3.org/2002/07/owl#Gene_ID_74318;Hopx
White,LMEX0000000024,LMPA0000000034,?-Smooth Muscle Actin,http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell,http://www.w3.org/2002/07/owl#Gene_ID_11475;Acta2
green,LMEX0000000650,LMPN0000000686,Sftpc,;,http://www.w3.org/2002/07/owl#Gene_ID_20389;Sftpc
Green,LMEX0000000585,LMPA0000000007,TTF-1,http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000052;acinar epithelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000142;ciliated cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000143;club cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000381;type II pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000382;immature type II pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000574;alveolar epithelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000576;terminal saccule epithelial cell,http://www.w3.org/2002/07/owl#Gene_ID_21869;Nkx2-1
White,LMEX0000000262,LMPA0000000034,?-Smooth Muscle Actin,http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell,http://www.w3.org/2002/07/owl#Gene_ID_59;ACTA2
purple,LMEX0000000335,LMPN0000000011,Cdh1,;,http://www.w3.org/2002/07/owl#Gene_ID_12550;Cdh1
