experiment,image,img_file,magnification,path,x_scaling,y_scaling
LMEX0000000074,LMEX0000000074_IMG_1,ISH042315_Ednrb_AS_R5019_E16.5_8756_8.3_s1_2.tif,0.549 microns/pixel,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000074,0.679443359,0.423950195
LMEX0000000076,LMEX0000000076_IMG_1,ISH042315_Ednrb_AS_R5019_P7_8829L_5.2_s2_2.tif,0.549 microns/pixel,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000076,0.575561523,0.996704102
LMEX0000000077,LMEX0000000077_IMG_1,ISH042315_Ednrb_AS_R5019_P28_8835RL_7.2_s1_2.tif,0.549 microns/pixel,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000077,0.410644531,0.583007813
LMEX0000000271,LMEX0000000271_IMG_25,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_001.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_26,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_001_TileScan.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.916595459,0.459533691
LMEX0000000271,LMEX0000000271_IMG_27,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_002.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_28,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_003.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_29,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_004.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_30,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_005.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_31,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_006.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_32,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_007.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000271,LMEX0000000271_IMG_33,2015-11-02_HE_4x_LMH-15-D024-RLL-9C2-10_008.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000271,0.625,0.46875
LMEX0000000272,LMEX0000000272_IMG_32,2015-09-24_AB_4x_LMH-15-D007-RLL-10B2-14_001.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000272,0.625,0.46875
LMEX0000000272,LMEX0000000272_IMG_33,2015-09-24_AB_4x_LMH-15-D007-RLL-10B2-14_002.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000272,0.625,0.46875
LMEX0000000272,LMEX0000000272_IMG_34,2015-09-24_AB_4x_LMH-15-D007-RLL-10B2-14_003.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000272,0.625,0.46875
LMEX0000000272,LMEX0000000272_IMG_35,2015-09-24_AB_4x_LMH-15-D007-RLL-10B2-14_004.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000272,0.625,0.46875
LMEX0000000272,LMEX0000000272_IMG_36,2015-09-24_AB_4x_LMH-15-D007-RLL-10B2-14_005.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000272,0.625,0.46875
LMEX0000000273,LMEX0000000273_IMG_23,2015-05-05_4X_HE_LMH-15-D001-RLL-9C1-33_001.tif,4X,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000273,0.625,0.46875
