"","experiment_id","age_label","date","experiment","gender","image_id","label","magnification","organism_label","platform.x","s3downloadkey","strain","id","X","experiment_type","platform.y","release_date"
"1","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_10","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",10,"Immunofluorescence-Confocal","confocal","03/12/2015"
"2","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_11","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",11,"Immunofluorescence-Confocal","confocal","03/12/2015"
"3","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_1","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",1,"Immunofluorescence-Confocal","confocal","03/12/2015"
"4","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_3","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",3,"Immunofluorescence-Confocal","confocal","03/12/2015"
"5","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_4","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004.tif","C57BL6","IMG",4,"Immunofluorescence-Confocal","confocal","03/12/2015"
"6","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_12","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004.tif","C57BL6","IMG",12,"Immunofluorescence-Confocal","confocal","03/12/2015"
"7","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_2","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",2,"Immunofluorescence-Confocal","confocal","03/12/2015"
"8","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_7","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",7,"Immunofluorescence-Confocal","confocal","03/12/2015"
"9","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_8","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_004.tif","C57BL6","IMG",8,"Immunofluorescence-Confocal","confocal","03/12/2015"
"10","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_5","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",5,"Immunofluorescence-Confocal","confocal","03/12/2015"
"11","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_6","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",6,"Immunofluorescence-Confocal","confocal","03/12/2015"
"12","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_9","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",9,"Immunofluorescence-Confocal","confocal","03/12/2015"
