"","experiment_id","age_label","date","experiment","gender","image_id","label","magnification","organism_label","platform","s3downloadkey","strain","id","X","color","probe_id","probe_label","target_conditions","target_molecules"
"1","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_7","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",7,"White","LMPA0000000034","?-Smooth Muscle Actin","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell","http://www.w3.org/2002/07/owl#Gene_ID_11475;Acta2"
"2","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_7","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",7,"Red","LMPA0000000031","Endomucin (Emcn)","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell","http://www.w3.org/2002/07/owl#Gene_ID_59308;Emcn"
"3","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_7","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_003.tif","C57BL6","IMG",7,"Green","LMPA0000000027","Hopx","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000573;proximal acinar tubule epithelial cell","http://www.w3.org/2002/07/owl#Gene_ID_74318;Hopx"
"4","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_10","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",10,"White","LMPA0000000034","?-Smooth Muscle Actin","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell","http://www.w3.org/2002/07/owl#Gene_ID_11475;Acta2"
"5","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_10","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",10,"Red","LMPA0000000031","Endomucin (Emcn)","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell","http://www.w3.org/2002/07/owl#Gene_ID_59308;Emcn"
"6","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_10","confocal LMXT0000000003 in mouse strain C57BL6","60X","mus musculus","confocal","LMEX0000000002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_60X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",10,"Green","LMPA0000000027","Hopx","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000573;proximal acinar tubule epithelial cell","http://www.w3.org/2002/07/owl#Gene_ID_74318;Hopx"
"7","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_1","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",1,"White","LMPA0000000034","?-Smooth Muscle Actin","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell","http://www.w3.org/2002/07/owl#Gene_ID_11475;Acta2"
"8","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_1","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",1,"Red","LMPA0000000031","Endomucin (Emcn)","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell","http://www.w3.org/2002/07/owl#Gene_ID_59308;Emcn"
"9","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_1","confocal LMXT0000000003 in mouse strain C57BL6","100X","mus musculus","confocal","LMEX0000000002/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001/2015-003-012_100X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_001.tif","C57BL6","IMG",1,"Green","LMPA0000000027","Hopx","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000161;endothelial cell|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000187;intermediate pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000379;type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000380;immature type I pneumocyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000573;proximal acinar tubule epithelial cell","http://www.w3.org/2002/07/owl#Gene_ID_74318;Hopx"
"10","LMEX0000000002","P28","03/12/2015","LMXT0000000003","female","LMEX0000000002_IMG_6","confocal LMXT0000000003 in mouse strain C57BL6","20X","mus musculus","confocal","LMEX0000000002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002/2015-003-012_20X_C57BL6_PND28_LMM.15.20A.1.23_HOPX_EMCN_ACTA2_002.tif","C57BL6","IMG",6,"White","LMPA0000000034","?-Smooth Muscle Actin","http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000243;myofibroblast|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000273;pericyte|http://ontology.lungmap.net/ontologies/mouse_anatomy#LMMA0000000343;smooth muscle cell","http://www.w3.org/2002/07/owl#Gene_ID_11475;Acta2"
