age_group,age_group_label,age_label,date,experiment,experiment_type,gender,image_id,img_file,label,local_id,magnification,organism_label,path,platform,probe_id,researcher,s3downloadkey,sample_id,sex,site,strain,tax_id,weight,experiment_id
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_1,2016-01-29_HE_10x_LMH-16-D007-LLL-5D4-10_001.tif,confocal LMXT0000000002 in human strain African_American,D007,10X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_10x_LMH-16-D007-LLL-5D4-10_001\2016-01-29_HE_10x_LMH-16-D007-LLL-5D4-10_001.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_10,2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_004.tif,confocal LMXT0000000002 in human strain African_American,D007,20X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_004\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_004.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_11,2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_005.tif,confocal LMXT0000000002 in human strain African_American,D007,20X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_005\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_005.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_12,2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_006.tif,confocal LMXT0000000002 in human strain African_American,D007,20X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_006\2016-01-29_HE_20x_LMH-16-D007-LLL-5D4-10_006.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_13,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_001.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_001\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_001.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_14,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_002.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_002\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_002.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_15,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_003.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_003\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_003.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_16,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_004.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_004\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_004.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_17,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_005.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_005\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_005.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
http://ontology.lungmap.net/ontologies/human_anatomy#LMHA0000000646,child,four years old,1/29/2016,LMXT0000000002,http://www.w3.org/2002/07/owl#LMXT0000000002,Male,LMEX0000000623_IMG_18,2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_006.tif,confocal LMXT0000000002 in human strain African_American,D007,40X,homo sapiens,http://lungmap-breath-data.s3.amazonaws.com/LMEX0000000623,confocal,http://www.w3.org/2002/07/owl#LMPS0000000001,Jeffrey A. Whitsett,LMEX0000000623\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_006\2016-01-29_HE_40x_LMH-16-D007-LLL-5D4-10_006.tif,http://www.w3.org/2002/07/owl#LMSP0000000034,Male,Cincinnati Children's Hospital Medical Center,African_American,http://www.w3.org/2002/07/owl#taxid_9606,15.42 kg,LMEX0000000623
