experiment_id,image_id,term,term_label
LMXT0000000002,LMEX0000000271_IMG_1,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_10,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_11,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_12,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_13,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_14,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_15,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_16,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_17,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_18,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_19,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_2,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_20,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_21,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_22,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_23,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_24,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_25,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_26,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_27,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_28,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_29,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_3,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_30,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_31,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_32,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_33,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_4,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_5,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_6,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_7,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_8,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000271_IMG_9,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_1,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_10,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_11,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_12,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_13,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_14,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_15,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_16,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_17,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_18,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_19,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_2,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_20,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_21,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_22,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_23,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_24,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_25,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_26,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_27,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_28,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_29,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_3,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_30,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_31,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_32,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_33,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_34,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_35,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_36,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_4,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_5,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_6,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_7,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_8,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000272_IMG_9,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000273_IMG_1,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000273_IMG_10,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000273_IMG_11,LMHA0000000324,right lung lower lobe
LMXT0000000002,LMEX0000000273_IMG_12,LMHA0000000324,right lung lower lobe
